,docker.io/library/fedora/34,docker.io/library/fedora/36,docker.io/library/fedora/35,docker.io/library/busybox/1.23,docker.io/library/busybox/1.27,docker.io/library/busybox/1.26,docker.io/library/busybox/1.24,docker.io/library/busybox/1.25,docker.io/library/ubuntu/22.04,docker.io/library/ubuntu/20.04,docker.io/library/ubuntu/18.04,docker.io/library/centos/7,docker.io/library/centos/8,docker.io/library/centos/6,docker.io/library/rockylinux/9.0,docker.io/library/rockylinux/8.6,docker.io/library/alpine/3.7,docker.io/library/alpine/3.10,docker.io/library/alpine/3.9,docker.io/library/alpine/3.11,docker.io/library/alpine/3.8
docker.io/library/ubuntu/18.04,0.03109206767743353,0.02152747728256166,0.018543956043956044,0.02079722703639515,0.020604395604395604,0.020689655172413793,0.02074688796680498,0.020718232044198894,0.5918608080212326,0.656872037914692,1.0,0.025502575178601095,0.029829134086301768,0.02115842369743454,0.03164835164835165,0.03101842049544781,0.059222261862290404,0.05915894511760513,0.05915894511760513,0.05909576361694553,0.05920114122681883
docker.io/library/centos/7,0.22205838985549986,0.1872100492470202,0.19001479289940829,0.0007898894154818325,0.0008863502068150482,0.0008873989351212779,0.0008880994671403197,0.0008877490629315447,0.03307073691120958,0.03443973047167457,0.025502575178601095,1.0,0.26372771016133595,0.25881721872066515,0.23090058653203652,0.23189987630066217,0.010844692070440752,0.01094200736098677,0.01084145613686095,0.011039283938339134,0.010843613211301234
docker.io/library/centos/8,0.3048695042914696,0.2562573492356795,0.2632132526952406,0.0009466335344929594,0.001061696354842515,0.00106320141760189,0.001064207165661582,0.0010637040538943388,0.04032796262751454,0.04052616307186382,0.029829134086301768,0.26372771016133595,1.0,0.1778849466069583,0.3265088125333808,0.8731425764460272,0.012895522388059702,0.01289090475053712,0.01289090475053712,0.013007159904534606,0.012893982808022923
docker.io/library/centos/6,0.18723723723723723,0.1651739832623697,0.17187858398960165,0.006333870101986044,0.006531049250535332,0.006431557508843392,0.006437077566784679,0.006434316353887399,0.01983271535742002,0.017787078210829192,0.02115842369743454,0.25881721872066515,0.1778849466069583,1.0,0.16937749519444034,0.16795492306580945,0.016,0.016104626026805013,0.016104626026805013,0.016099405726634253,0.01610810810810811
docker.io/library/rockylinux/9.0,0.8216960941680043,0.3066781312697048,0.31569982967638516,0.0011156045181982988,0.0012505210504376823,0.0012526096033402922,0.0012540058520273095,0.0012533073388107507,0.04445890262415962,0.04394757131842714,0.03164835164835165,0.23090058653203652,0.3265088125333808,0.16937749519444034,1.0,0.358844695127881,0.013650436251055446,0.013787281935846933,0.013787281935846933,0.013781465335395865,0.013648515548051217
docker.io/library/rockylinux/8.6,0.3028070502657838,0.2789934354485777,0.28802063431410013,0.0010635469290082426,0.0011923688394276629,0.0011942675159235668,0.001195536663124336,0.0011949017525225705,0.04217559244179977,0.04242231413723618,0.03101842049544781,0.23189987630066217,0.8731425764460272,0.16795492306580945,0.358844695127881,1.0,0.012736291728113688,0.012731171267756634,0.012731171267756634,0.012726054922973878,0.012734584450402145
docker.io/library/alpine/3.7,0.012943162633652222,0.011991076408254323,0.011450956757571192,0.12759643916913946,0.12589413447782546,0.12481857764876633,0.1262848751835536,0.12554744525547445,0.033451270504985524,0.03659776347001017,0.059222261862290404,0.010844692070440752,0.012895522388059702,0.016,0.013650436251055446,0.012736291728113688,1.0,0.9242053789731052,0.928921568627451,0.9174757281553398,0.9382716049382716
docker.io/library/alpine/3.10,0.013080168776371307,0.012127125731809312,0.011598132248832655,0.12703101920236337,0.12535612535612536,0.12427745664739884,0.12573099415204678,0.125,0.033419023136246784,0.03656059580230196,0.05915894511760513,0.01094200736098677,0.01289090475053712,0.016104626026805013,0.013787281935846933,0.012731171267756634,0.9242053789731052,1.0,0.9949494949494949,0.992462311557789,0.9266503667481663
docker.io/library/alpine/3.9,0.013080168776371307,0.012127125731809312,0.011598132248832655,0.12703101920236337,0.12535612535612536,0.12427745664739884,0.12573099415204678,0.125,0.033419023136246784,0.03656059580230196,0.05915894511760513,0.01084145613686095,0.01289090475053712,0.016104626026805013,0.013787281935846933,0.012731171267756634,0.928921568627451,0.9949494949494949,1.0,0.9874686716791979,0.9313725490196079
docker.io/library/alpine/3.11,0.013074652045550401,0.012122056569597325,0.011592893706714845,0.1264705882352941,0.12482269503546099,0.1237410071942446,0.12518195050946143,0.12445730824891461,0.033386837881219905,0.03652350355089618,0.05909576361694553,0.011039283938339134,0.013007159904534606,0.016099405726634253,0.013781465335395865,0.012726054922973878,0.9174757281553398,0.992462311557789,0.9874686716791979,1.0,0.9199029126213593
docker.io/library/alpine/3.8,0.01294134196089464,0.011989404712114874,0.011449231696294065,0.1274074074074074,0.12571428571428572,0.1246376811594203,0.12609970674486803,0.12536443148688048,0.033440514469453377,0.036585365853658534,0.05920114122681883,0.010843613211301234,0.012893982808022923,0.01610810810810811,0.013648515548051217,0.012734584450402145,0.9382716049382716,0.9266503667481663,0.9313725490196079,0.9199029126213593,1.0
